item,countryLabel,itemLabel
Q84055415,Finland,2020 COVID-19 pandemic in Finland
Q84104992,Italy,COVID-19 pandemic in Italy
Q86717788,Switzerland,2020 COVID-19 pandemic in Switzerland
Q86847911,Austria,2020 COVID-19 pandemic in Austria
Q84446340,Belgium,2020 COVID-19 pandemic in Belgium
Q87058723,Morocco,COVID-19 pandemic in Morocco
Q84081576,Sweden,COVID-19 pandemic in Sweden
Q86756826,Netherlands,2020 COVID-19 pandemic in the Netherlands
Q86597685,Denmark,COVID-19 pandemic in Denmark
Q83872271,mainland China,COVID-19 pandemic in mainland China
Q86948603,Portugal,2020 COVID-19 pandemic in Portugal
Q87116829,Egypt,COVID-19 pandemic in Egypt
Q87250695,Poland,2020 COVID-19 pandemic in Poland
Q87250860,Luxembourg,2020 COVID-19 pandemic in Luxembourg
Q87250930,Cameroon,2020 COVID-19 pandemic in Cameroon
Q87343682,Tunisia,2020 COVID-19 pandemic in Tunisia
Q87473205,Turkey,2020 COVID-19 pandemic in Turkey
Q87651970,Guinea,2020 COVID-19 pandemic in Guinea
Q87657486,Sudan,2020 COVID-19 pandemic in Sudan
Q87660365,Uruguay,2020 COVID-19 pandemic in Uruguay
Q87660693,Puerto Rico,COVID-19 pandemic in Puerto Rico
Q87665364,Burkina Faso,2020 COVID-19 pandemic in Burkina Faso
Q87704267,Ivory Coast,2020 COVID-19 pandemic in Ivory Coast
Q87706558,Democratic Republic of the Congo,2020 COVID-19 pandemic in the Democratic Republic of the Congo
Q87708719,Aruba,2020 COVID-19 pandemic in Aruba
Q87709900,Mauritania,COVID-19 pandemic in Mauritania
Q87709973,Eswatini,2020 COVID-19 pandemic in Eswatini
Q87714704,Rwanda,2020 COVID-19 pandemic in Rwanda
Q87718451,Nigeria,2020 COVID-19 pandemic in Nigeria
Q87729500,Seychelles,2020 COVID-19 pandemic in Seychelles
Q87729501,Namibia,2020 COVID-19 pandemic in Namibia
Q87742114,Republic of the Congo,2020 COVID-19 pandemic in the Republic of the Congo
Q87745903,Senegal,2020 COVID-19 pandemic in Senegal
Q87770645,Somalia,2020 COVID-19 pandemic in Somalia
Q87781572,Benin,2020 COVID-19 pandemic in Benin
Q87899016,The Gambia,2020 COVID-19 pandemic in the Gambia
Q87899022,Djibouti,2020 COVID-19 pandemic in Djibouti
Q87976629,Zambia,2020 COVID-19 pandemic in Zambia
Q87979033,Mauritius,2020 COVID-19 pandemic in Mauritius
Q88082639,Cape Verde,2020 COVID-19 pandemic in Cape Verde
Q88082809,Niger,2020 COVID-19 pandemic in Niger
Q88082922,Sint Maarten,2020 COVID-19 pandemic in Sint Maarten
Q88164033,Zimbabwe,2020 COVID-19 pandemic in Zimbabwe
Q88225303,Madagascar,2020 COVID-19 pandemic in Madagascar
Q88263719,Uganda,2020 COVID-19 pandemic in Uganda
Q88335426,Mozambique,2020 COVID-19 pandemic in Mozambique
Q88371105,Eritrea,2020 COVID-19 pandemic in Eritrea
Q88568089,Libya,2020 COVID-19 pandemic in Libya
Q88617000,Guinea-Bissau,2020 COVID-19 pandemic in Guinea-Bissau
Q87816112,American Samoa,COVID-19 pandemic in American Samoa
Q87816426,Northern Mariana Islands,2020 COVID-19 pandemic in the Northern Mariana Islands
Q89127366,Sierra Leone,2020 COVID-19 pandemic in Sierra Leone
Q89164046,Botswana,2020 COVID-19 pandemic in Botswana
Q89193856,Burundi,2020 COVID-19 pandemic in Burundi
Q89285378,Malawi,2020 COVID-19 pandemic in Malawi
Q89560617,South Sudan,2020 COVID-19 pandemic in South Sudan
Q89598747,São Tomé and Príncipe,2020 COVID-19 pandemic in São Tomé and Príncipe
Q89277288,Transnistria,2020 COVID-19 pandemic in Transnistria
Q89872880,Republic of Artsakh,COVID-19 pandemic in the Republic of Karabakh
Q95496311,United States of America,2020 COVID-19 pandemic in American detention centers
Q91024607,Lesotho,COVID-19 pandemic in Lesotho
Q92619508,Comoros,2020 coronavirus pandemic in the Comoros
Q85876114,Iran,2020 COVID-19 pandemic in Iran
Q87070975,Israel,2020 COVID-19 pandemic in Israel
Q83873573,Nepal,COVID-19 pandemic in Nepal
Q83873556,Malaysia,2020 COVID-19 pandemic in Malaysia
Q83873566,Thailand,2020 COVID-19 pandemic in Thailand
Q83873593,France,COVID-19 pandemic in France
Q86733728,Iraq,COVID-19 pandemic in Iraq
Q83889114,Sri Lanka,COVID-19 pandemic in Sri Lanka
Q83889294,Germany,2020 COVID-19 pandemic in Germany
Q84167106,United Kingdom,COVID-19 pandemic in the United Kingdom
Q87068864,Greece,2020 COVID-19 pandemic in Greece
Q86597695,Brazil,COVID-19 pandemic in Brazil
Q86628344,Mexico,2020 COVID-19 pandemic in Mexico
Q87186117,Saudi Arabia,2020 COVID-19 pandemic in Saudi Arabia
Q87245450,Lebanon,2020 COVID-19 pandemic in Lebanon
Q87250691,Kuwait,2020 COVID-19 pandemic in Kuwait
Q87250713,Ecuador,2020 COVID-19 pandemic in Ecuador
Q87454162,Oman,COVID-19 pandemic in Oman
Q87477462,Costa Rica,COVID-19 pandemic in Costa Rica
Q87477841,Panama,COVID-19 pandemic in Panama
Q87480220,Bolivia,COVID-19 pandemic in Bolivia
Q87483673,Colombia,2020 COVID-19 pandemic in Colombia
Q87563855,Dominican Republic,2020 COVID-19 pandemic in the Dominican Republic
Q87589148,Jordan,2020 COVID-19 pandemic in Jordan
Q87589392,Honduras,COVID-19 pandemic in Honduras
Q87610822,Jamaica,2020 COVID-19 pandemic in Jamaica
Q87652000,Pakistan,COVID-19 pandemic in Pakistan
Q87662895,Maldives,COVID-19 pandemic in the Maldives
Q87665038,Ethiopia,2020 COVID-19 pandemic in Ethiopia
Q87666247,Ghana,2020 COVID-19 pandemic in Ghana
Q87669612,Guatemala,COVID-19 pandemic in Guatemala
Q87687648,Saint Vincent and the Grenadines,2020 COVID-19 pandemic in Saint Vincent and the Grenadines
Q87694131,Trinidad and Tobago,2020 COVID-19 pandemic in Trinidad and Tobago
Q87705884,Kenya,2020 COVID-19 pandemic in Kenya
Q87707727,Saint Lucia,2020 COVID-19 pandemic in Saint Lucia
Q87708331,Antigua and Barbuda,2020 COVID-19 pandemic in Antigua and Barbuda
Q87733671,Qatar,2020 COVID-19 pandemic in Qatar
Q87755488,The Bahamas,2020 COVID-19 pandemic in the Bahamas
Q87814953,Syria,2020 COVID-19 pandemic in Syria
Q87902950,Kyrgyzstan,COVID-19 pandemic in Kyrgyzstan
Q87976701,Nicaragua,COVID-19 pandemic in Nicaragua
Q88082693,Haiti,2020 COVID-19 pandemic in Haiti
Q88356648,Dominica,COVID-19 pandemic in Dominica
Q88460663,Myanmar,2020 COVID-19 pandemic in Myanmar
Q88521330,Laos,2020 COVID-19 pandemic in Laos
Q88713785,Grenada,2020 COVID-19 pandemic in Grenada
Q88864139,Saint Kitts and Nevis,COVID-19 pandemic in Saint Kitts and Nevis
Q89695985,Yemen,2020 COVID-19 pandemic in Yemen
Q89990513,Tajikistan,2020 COVID-19 pandemic in Tajikistan
Q87936974,El Salvador,COVID-19 pandemic in El Salvador
Q87589123,Paraguay,2020 COVID-19 pandemic in Paraguay
Q87652010,Venezuela,2020 COVID-19 pandemic in Venezuela
Q87659698,Guyana,2020 COVID-19 pandemic in Guyana
Q87708832,Mongolia,2020 COVID-19 pandemic in Mongolia
Q87975745,Fiji,2020 COVID-19 pandemic in Fiji
Q88137634,Papua New Guinea,2020 COVID-19 pandemic in Papua New Guinea
Q89277147,Samoa,2020 COVID-19 pandemic in Samoa
Q89277064,Nauru,2020 COVID-19 pandemic in Nauru
Q89277028,Kiribati,2020 COVID-19 pandemic in Kiribati
Q89277011,Tuvalu,2020 COVID-19 pandemic in Tuvalu
Q89276897,Marshall Islands,COVID-19 pandemic in the Marshall Islands
Q89277187,Solomon Islands,2020 COVID-19 pandemic in the Solomon Islands
Q89277286,Vanuatu,2020 COVID-19 pandemic in Vanuatu
Q89277287,Palau,COVID-19 pandemic in Palau
Q89277298,Federated States of Micronesia,2020 COVID-19 pandemic in Micronesia
Q90539748,Nauru,Q90539748
Q87070999,Bahrain,2020 COVID-19 pandemic in Bahrain
Q83872398,South Korea,2019–20 COVID-19 outbreak in South Korea
Q83873387,Singapore,COVID-19 pandemic in Singapore
Q83888864,Cambodia,COVID-19 pandemic in Cambodia
Q84030045,United Arab Emirates,COVID-19 pandemic in the United Arab Emirates
Q86913546,Indonesia,COVID-19 pandemic in Indonesia
Q83873548,Australia,2020 COVID-19 pandemic in Australia
Q83873057,Vietnam,COVID-19 pandemic in Vietnam
Q86675924,North Korea,2020 COVID-19 pandemic in North Korea
Q84098939,Russia,COVID-19 pandemic in Russia
Q84055544,Philippines,COVID-19 pandemic in the Philippines
Q87066621,Latvia,2020 COVID-19 pandemic in Latvia
Q84055514,India,COVID-19 pandemic in India
Q87191204,Chile,2020 COVID-19 pandemic in Chile
Q87200954,Slovakia,COVID-19 pandemic in Slovakia
Q87202921,Algeria,2020 COVID-19 pandemic in Algeria
Q87235137,Argentina,2020 COVID-19 pandemic in Argentina
Q87243915,South Africa,2020 COVID-19 pandemic in South Africa
Q87250732,Croatia,2020 COVID-19 pandemic in Croatia
Q87250752,Romania,2020 COVID-19 pandemic in Romania
Q87250803,New Zealand,COVID-19 pandemic in New Zealand
Q87412028,Brunei,2020 COVID-19 pandemic in Brunei
Q87486535,Bulgaria,2020 COVID-19 pandemic in Bulgaria
Q87540454,Bangladesh,COVID-19 pandemic in Bangladesh
Q87587763,Peru,COVID-19 pandemic in Peru
Q87651995,Kazakhstan,2020 COVID-19 pandemic in Kazakhstan
Q87662819,Togo,2020 COVID-19 pandemic in Togo
Q87666042,Gabon,2020 COVID-19 pandemic in Gabon
Q87715166,Bhutan,2020 COVID-19 pandemic in Bhutan
Q87742064,Equatorial Guinea,2020 COVID-19 pandemic in Equatorial Guinea
Q87742085,Central African Republic,2020 COVID-19 pandemic in the Central African Republic
Q87768605,Afghanistan,COVID-19 pandemic in Afghanistan
Q87770827,Tanzania,2020 COVID-19 pandemic in Tanzania
Q87836826,East Timor,COVID-19 pandemic in East Timor
Q87887813,Montenegro,2020 COVID-19 pandemic in Montenegro
Q87902902,Barbados,2020 COVID-19 pandemic in Barbados
Q88082534,Angola,2020 COVID-19 pandemic in Angola
Q88082670,Chad,2020 COVID-19 pandemic in Chad
Q88556836,Mali,2020 COVID-19 pandemic in Mali
Q87755912,Uzbekistan,2020 COVID-19 pandemic in Uzbekistan
Q89753133,Turkmenistan,2020 COVID-19 pandemic in Turkmenistan
Q104383246,Bangladesh,Q104383246
Q84081307,Taiwan,COVID-19 pandemic in Taiwan
Q88622881,European Union,COVID-19 pandemic in the European Union
Q87186365,Ireland,2020 COVID-19 pandemic in the Republic of Ireland
Q83873580,Canada,COVID-19 pandemic in Canada
Q86886544,Norway,COVID-19 pandemic in Norway
Q83872291,Japan,Covid-19 pandemic in Japan
Q87743866,Wales,COVID-19 pandemic in Wales
Q87250838,Lithuania,2020 COVID-19 pandemic in Lithuania
Q83873577,United States of America,COVID-19 pandemic in the United States
Q87664046,Suriname,2020 COVID-19 pandemic in Suriname
Q89277304,Tonga,2020 COVID-19 pandemic in Tonga
Q84166704,Spain,COVID-19 pandemic in Spain
Q87119811,Hungary,2020 COVID-19 pandemic in Hungary
Q86919406,Czech Republic,2020 COVID-19 pandemic in the Czech Republic
Q87121993,Iceland,2020 COVID-19 pandemic in Iceland
Q87123561,San Marino,2020 COVID-19 pandemic in San Marino
Q87193778,Serbia,2020 COVID-19 pandemic in Serbia
Q87204911,Estonia,COVID-19 pandemic in Estonia
Q87222526,Vatican City,2020 COVID-19 pandemic in Vatican City
Q87235177,Ukraine,2020 COVID-19 pandemic in Ukraine
Q87250770,Bosnia and Herzegovina,2020 COVID-19 pandemic in Bosnia and Herzegovina
Q87250788,Belarus,2020 COVID-19 pandemic in Belarus
Q87250819,Liechtenstein,2020 COVID-19 pandemic in Liechtenstein
Q87250877,Monaco,2020 COVID-19 pandemic in Monaco
Q87250897,North Macedonia,2020 COVID-19 pandemic in North Macedonia
Q87250913,Georgia,2020 COVID-19 pandemic in Georgia
Q87250948,Slovenia,COVID-19 pandemic in Slovenia
Q87450756,Albania,COVID-19 pandemic in Albania
Q87580938,Cyprus,2020 COVID-19 pandemic in Cyprus
Q87587760,Malta,2020 COVID-19 pandemic in Malta
Q87590993,Cuba,2020 COVID-19 pandemic in Cuba
Q87592982,Moldova,2020 COVID-19 pandemic in Moldova
Q87648634,Armenia,COVID-19 pandemic in Armenia
Q87715843,Andorra,2020 COVID-19 pandemic in Andorra
Q87722485,Azerbaijan,2020 COVID-19 pandemic in Azerbaijan
Q88561418,Belize,2020 COVID-19 pandemic in Belize
Q97213916,Estonia,Chronology of  2020 COVID-19 pandemic in Estonia
Q87655119,Kosovo,COVID-19 pandemic in Kosovo
Q87766242,Liberia,2020 COVID-19 pandemic in Liberia
Q87199320,State of Palestine,2020 COVID-19 pandemic in the State of Palestine
